Ammonium_AMS,Chloride_AMS,ClFraction_AMS,Density_AMS,ETime_AMS,HtoC_AMS,NH4Fraction_AMS,Nitrate_AMS,NO3Fraction_AMS,OADensity_ams,OAFraction_AMS,OA_AMS,OtoC_AMS,RH_AMS,SO4Fraction_AMS,STime_AMS,Sulfate_AMS,Temp_AMS,TotalMass_AMS,Volume_ams,Rkappa_dis_51,Rkappa_dis_75,Rkappa_dis_94,Rkappa_dis_112,Rkappa_dis_142,Rkappa_dis_171,Rkappa_dis_222,Rkappa_mean_51,Rkappa_mean_75,Rkappa_mean_94,Rkappa_mean_112,Rkappa_mean_142,Rkappa_mean_171,Rkappa_mean_222,RKappa_median_51,RKappa_median_75,RKappa_median_94,RKappa_median_112,RKappa_median_142,RKappa_median_171,RKappa_median_222,Rkappa_sd_51,Rkappa_sd_75,Rkappa_sd_94,Rkappa_sd_112,Rkappa_sd_142,Rkappa_sd_171,Rkappa_sd_222,RSMPS_AMSVol,RSMPS_kappaVol,RSMPS_kappaVol_frac,RSMPS_TotVol
,,,,8/16/2014 20:00:00,,,,,,,,,,,8/16/2014 19:00:00,,,,,,0.461376,0.535164,0.392665,0.308053,0.273415,0.75333,,0.145372,0.157285,0.167308,0.135552,0.119411,0.0994313,,0.131244,0.13876,0.152937,0.126775,0.112216,0.0780467,,0.0171728,0.0193307,0.0216447,0.0175975,0.0172024,0.0238136,,,,
,,,,8/16/2014 21:00:00,,,,,,,,,,,8/16/2014 20:00:00,,,,,,0.381748,,0.355124,,,0.444104,,0.130764,,0.127656,,0.116229,0.108076,,0.121318,,0.117948,,0.115707,0.0953379,,0.0146837,,0.0151954,,0.0125618,0.0265216,,,,
,,,,8/16/2014 22:00:00,,,,,,,,,,,8/16/2014 21:00:00,,,,,,0.280297,0.717585,0.517725,,,,,0.121737,0.132177,0.154965,0.116128,,,,0.116353,0.108628,0.13594,0.11496,,,,0.0130754,0.015767,0.021336,0.0120859,,,,,,
0.165582,0.00657167,0.00158667,1.52133,8/16/2014 23:00:00,1.43647,0.0399782,0.169627,0.0409549,1.48691,0.848146,3.51284,0.778419,,0.0693341,8/16/2014 22:00:00,0.287168,,4.14179,2.72248,0.0802956,0.352635,0.548625,,0.436805,,,0.110136,0.117101,0.117024,,0.152953,,,0.109128,0.109652,0.102291,,0.137611,0.0714654,0.0327433,0.0114297,0.0123694,0.014181,,0.0205075,0.02,0.02,2.19052,1.14688,0.523567,2.23239
0.161721,0.00589126,0.00145421,1.49799,8/17/2014 00:00:00,1.47356,0.0399195,0.167672,0.0413884,1.46079,0.848619,3.43791,0.756189,,0.0686192,8/16/2014 23:00:00,0.277989,,4.05119,2.70441,,,0.434465,0.462285,0.512805,0.160688,0.905517,,,0.13765,0.134844,0.178435,0.12414,0.127622,,,0.125726,0.120291,0.157491,0.119265,0.0973422,,,0.0163598,0.0162181,0.0214267,0.0167422,0.0340078,2.08017,1.09992,0.528762,2.11478
0.15154,0.00660892,0.00172198,1.51383,8/17/2014 01:00:00,1.44501,0.0394843,0.124579,0.0324595,1.48056,0.855811,3.28458,0.77276,,0.0705233,8/17/2014 00:00:00,0.270667,,3.83797,2.53527,,0.214672,,0.724468,0.31396,,0.480103,,0.119794,,0.140883,0.134782,0.126628,0.103444,,0.116233,,0.115137,0.125853,0.123955,0.0901086,,0.0126824,,0.0182058,0.0165337,0.0149656,0.0228047,2.02709,1.06437,0.525073,2.06248
0.139945,0.00565135,0.00150315,1.52769,8/17/2014 02:00:00,1.42497,0.0372228,0.105023,0.027934,1.49796,0.863544,3.24664,0.790462,,0.0697956,8/17/2014 01:00:00,0.262408,,3.75966,2.46102,,0.310258,0.612155,0.496846,,,,,0.10521,0.138001,0.120177,,0.128099,,,0.0997535,0.118008,0.105811,,0.125436,,,0.0111548,0.0168285,0.015231,,0.0147167,,1.99333,1.06874,0.536156,2.02812
0.150285,0.00572677,0.00147797,1.52552,8/17/2014 03:00:00,1.43134,0.0387857,0.136427,0.0352093,1.49369,0.856235,3.31769,0.78709,,0.0682916,8/17/2014 02:00:00,0.264613,,3.87475,2.53995,0.176008,0.333031,0.569111,,0.462137,,,0.107883,0.10417,0.116472,,0.130041,,0.0794138,0.105631,0.0981236,0.100973,,0.115854,,0.078792,0.0112462,0.0106939,0.0138547,,0.0182872,,0.00867106,2.1654,1.19562,0.552146,2.20149
0.160995,0.00596371,0.00142632,1.52142,8/17/2014 04:00:00,1.43795,0.0385048,0.16425,0.0392834,1.48883,0.855242,3.57591,0.782801,,0.0655437,8/17/2014 03:00:00,0.27405,,4.18117,2.7482,0.22999,,0.691235,0.558025,0.677596,0.278283,0.547827,0.111072,,0.107934,0.116107,0.137635,0.120094,0.104958,0.107629,,0.0889179,0.0998715,0.113877,0.112724,0.0892061,0.012062,,0.0119201,0.013502,0.018943,0.0154576,0.0279551,2.44483,1.38033,0.564592,2.48303
0.154104,0.00598253,0.00152575,1.52071,8/17/2014 05:00:00,1.43771,0.0393016,0.129363,0.0329919,1.48902,0.858939,3.36795,0.782978,,0.0672413,8/17/2014 04:00:00,0.263657,,3.92105,2.57843,,0.361528,0.527788,0.534844,0.630531,0.162606,0.564153,,0.101866,0.107662,0.103411,0.14431,0.123121,0.102437,,0.0951212,0.0948621,0.08968,0.121565,0.118252,0.0865129,,0.0106277,0.0118248,0.0113616,0.0232218,0.0154644,0.0249166,2.39892,1.40506,0.585706,2.43308
